X,CH1,
Second,Volt,
-1.1980001e+00,-4.00000e-01,
-1.1978536e+00,-4.00000e-01,
-1.1977071e+00,-3.20000e-01,
-1.1975607e+00,-3.20000e-01,
-1.1974142e+00,-4.00000e-01,
-1.1972677e+00,-4.00000e-01,
-1.1971211e+00,-3.20000e-01,
-1.1969746e+00,-3.20000e-01,
-1.1968282e+00,-4.00000e-01,
-1.1966817e+00,-4.00000e-01,
-1.1965352e+00,-3.20000e-01,
-1.1963887e+00,-3.20000e-01,
-1.1962422e+00,-4.00000e-01,
-1.1960958e+00,-4.00000e-01,
-1.1959493e+00,-3.20000e-01,
-1.1958028e+00,-3.20000e-01,
-1.1956563e+00,-4.00000e-01,
-1.1955098e+00,-4.00000e-01,
-1.1953634e+00,-3.20000e-01,
-1.1952169e+00,-3.20000e-01,
-1.1950704e+00,-4.00000e-01,
-1.1949239e+00,-4.00000e-01,
-1.1947774e+00,-3.20000e-01,
-1.1946310e+00,-3.20000e-01,
-1.1944845e+00,-4.00000e-01,
-1.1943380e+00,-4.00000e-01,
-1.1941915e+00,-3.20000e-01,
-1.1940449e+00,-3.20000e-01,
-1.1938986e+00,-4.00000e-01,
-1.1937521e+00,-4.00000e-01,
-1.1936055e+00,-3.20000e-01,
-1.1934590e+00,-3.20000e-01,
-1.1933125e+00,-4.00000e-01,
-1.1931661e+00,-4.00000e-01,
-1.1930196e+00,-3.20000e-01,
-1.1928731e+00,-3.20000e-01,
-1.1927266e+00,-4.00000e-01,
-1.1925801e+00,-4.00000e-01,
-1.1924337e+00,-3.20000e-01,
-1.1922872e+00,-3.20000e-01,
-1.1921407e+00,-4.00000e-01,
-1.1919942e+00,-4.00000e-01,
-1.1918477e+00,-3.20000e-01,
-1.1917013e+00,-3.20000e-01,
-1.1915548e+00,-4.00000e-01,
-1.1914083e+00,-4.00000e-01,
-1.1912618e+00,-4.80000e-01,
-1.1911153e+00,-4.00000e-01,
-1.1909689e+00,-4.80000e-01,
-1.1908224e+00,-4.00000e-01,
-1.1906759e+00,-6.40000e-01,
-1.1905293e+00,-3.20000e-01,
-1.1903828e+00,-4.00000e-01,
-1.1902364e+00,-4.80000e-01,
-1.1900899e+00,-4.80000e-01,
-1.1899434e+00,-3.20000e-01,
-1.1897969e+00,-4.00000e-01,
-1.1896504e+00,-3.20000e-01,
-1.1895040e+00,-4.00000e-01,
-1.1893575e+00,-4.00000e-01,
-1.1892110e+00,-4.80000e-01,
-1.1890645e+00,-4.00000e-01,
-1.1889180e+00,-2.40000e-01,
-1.1887716e+00,-4.00000e-01,
-1.1886251e+00,-3.20000e-01,
-1.1884786e+00,-4.00000e-01,
-1.1883321e+00,-4.00000e-01,
-1.1881856e+00,-3.20000e-01,
-1.1880392e+00,-3.20000e-01,
-1.1878927e+00,-3.20000e-01,
-1.1877462e+00,-4.00000e-01,
-1.1875997e+00,-3.20000e-01,
-1.1874532e+00,-4.00000e-01,
-1.1873068e+00,-3.20000e-01,
-1.1871603e+00,-4.00000e-01,
-1.1870137e+00,-3.20000e-01,
-1.1868672e+00,-4.00000e-01,
-1.1867207e+00,-4.00000e-01,
-1.1865743e+00,-3.20000e-01,
-1.1864278e+00,-4.00000e-01,
-1.1862813e+00,-4.80000e-01,
-1.1861348e+00,-5.60000e-01,
-1.1859883e+00,-4.00000e-01,
-1.1858419e+00,-3.20000e-01,
-1.1856954e+00,-4.00000e-01,
-1.1855489e+00,-3.20000e-01,
-1.1854024e+00,-2.40000e-01,
-1.1852559e+00,-4.00000e-01,
-1.1851095e+00,-4.00000e-01,
-1.1849630e+00,-4.00000e-01,
-1.1848165e+00,-4.00000e-01,
-1.1846700e+00,-4.00000e-01,
-1.1845235e+00,-2.40000e-01,
-1.1843771e+00,-4.00000e-01,
-1.1842306e+00,-3.20000e-01,
-1.1840841e+00,-4.80000e-01,
-1.1839375e+00,-4.00000e-01,
-1.1837910e+00,-4.00000e-01,
-1.1836447e+00,-4.00000e-01,
-1.1834981e+00,-3.20000e-01,
-1.1833516e+00,-4.80000e-01,
-1.1832051e+00,-4.00000e-01,
-1.1830586e+00,-1.60000e-01,
-1.1829122e+00,-1.60000e-01,
-1.1827657e+00,-1.60000e-01,
-1.1826192e+00,-1.60000e-01,
-1.1824727e+00,-2.40000e-01,
-1.1823262e+00,-1.60000e-01,
-1.1821798e+00,-1.60000e-01,
-1.1820333e+00,-3.20000e-01,
-1.1818868e+00,-1.60000e-01,
-1.1817403e+00,-8.00000e-02,
-1.1815938e+00,-3.20000e-01,
-1.1814474e+00,-2.40000e-01,
-1.1813009e+00,0.00000e+00,
-1.1811544e+00,-8.00000e-02,
-1.1810079e+00,-3.20000e-01,
-1.1808614e+00,-1.60000e-01,
-1.1807150e+00,-8.00000e-02,
-1.1805685e+00,-8.00000e-02,
-1.1804219e+00,-1.60000e-01,
-1.1802754e+00,-3.20000e-01,
-1.1801289e+00,0.00000e+00,
-1.1799825e+00,-1.60000e-01,
-1.1798360e+00,-3.20000e-01,
-1.1796895e+00,-1.60000e-01,
-1.1795430e+00,-1.60000e-01,
-1.1793965e+00,-2.40000e-01,
-1.1792501e+00,-2.40000e-01,
-1.1791036e+00,-1.60000e-01,
-1.1789571e+00,-2.40000e-01,
-1.1788106e+00,-2.40000e-01,
-1.1786641e+00,-2.40000e-01,
-1.1785177e+00,-3.20000e-01,
-1.1783712e+00,-8.00000e-02,
-1.1782247e+00,-1.60000e-01,
-1.1780782e+00,-2.40000e-01,
-1.1779317e+00,-4.00000e-01,
-1.1777853e+00,-1.60000e-01,
-1.1776388e+00,-4.00000e-01,
-1.1774923e+00,-4.00000e-01,
-1.1773458e+00,-4.00000e-01,
-1.1771992e+00,-4.00000e-01,
-1.1770529e+00,-4.00000e-01,
-1.1769063e+00,-4.00000e-01,
-1.1767598e+00,-4.00000e-01,
-1.1766133e+00,-4.00000e-01,
-1.1764668e+00,-2.40000e-01,
-1.1763204e+00,-4.00000e-01,
-1.1761739e+00,-4.80000e-01,
-1.1760274e+00,-4.00000e-01,
-1.1758809e+00,-4.00000e-01,
-1.1757344e+00,-4.00000e-01,
-1.1755880e+00,-5.60000e-01,
-1.1754415e+00,-4.80000e-01,
-1.1752950e+00,-4.00000e-01,
-1.1751485e+00,-4.00000e-01,
