X,CH1,
Second,Volt,
-2.9800001e-01,1.00000e-01,
-2.9796338e-01,1.00000e-01,
-2.9792675e-01,8.00000e-02,
-2.9789016e-01,8.00000e-02,
-2.9785353e-01,1.00000e-01,
-2.9781690e-01,1.00000e-01,
-2.9778028e-01,8.00000e-02,
-2.9774365e-01,8.00000e-02,
-2.9770705e-01,1.00000e-01,
-2.9767042e-01,1.00000e-01,
-2.9763380e-01,8.00000e-02,
-2.9759717e-01,8.00000e-02,
-2.9756054e-01,1.00000e-01,
-2.9752395e-01,1.00000e-01,
-2.9748732e-01,8.00000e-02,
-2.9745069e-01,8.00000e-02,
-2.9741406e-01,1.00000e-01,
-2.9737744e-01,1.00000e-01,
-2.9734084e-01,8.00000e-02,
-2.9730421e-01,8.00000e-02,
-2.9726759e-01,1.00000e-01,
-2.9723096e-01,1.00000e-01,
-2.9719433e-01,8.00000e-02,
-2.9715773e-01,8.00000e-02,
-2.9712111e-01,1.00000e-01,
-2.9708448e-01,1.00000e-01,
-2.9704785e-01,8.00000e-02,
-2.9701123e-01,8.00000e-02,
-2.9697463e-01,1.00000e-01,
-2.9693800e-01,1.00000e-01,
-2.9690138e-01,8.00000e-02,
-2.9686475e-01,8.00000e-02,
-2.9682812e-01,1.00000e-01,
-2.9679152e-01,1.00000e-01,
-2.9675490e-01,8.00000e-02,
-2.9671827e-01,8.00000e-02,
-2.9668164e-01,1.00000e-01,
-2.9664502e-01,1.00000e-01,
-2.9660842e-01,4.00000e-02,
-2.9657179e-01,-1.40000e-01,
-2.9653516e-01,-1.00000e-01,
-2.9649854e-01,-1.40000e-01,
-2.9646191e-01,-8.00000e-02,
-2.9642531e-01,-1.40000e-01,
-2.9638869e-01,-2.00000e-02,
-2.9635206e-01,-2.20000e-01,
-2.9631543e-01,-1.20000e-01,
-2.9627880e-01,1.00000e-01,
-2.9624221e-01,2.00000e-02,
-2.9620558e-01,-4.00000e-02,
-2.9616895e-01,0.00000e+00,
-2.9613233e-01,-2.20000e-01,
-2.9609570e-01,-6.00000e-02,
-2.9605910e-01,-8.00000e-02,
-2.9602247e-01,4.00000e-02,
-2.9598585e-01,-1.00000e-01,
-2.9594922e-01,-1.40000e-01,
-2.9591259e-01,-4.00000e-02,
-2.9587600e-01,-1.00000e-01,
-2.9583937e-01,1.20000e-01,
-2.9580274e-01,-1.00000e-01,
-2.9576612e-01,-2.20000e-01,
-2.9572949e-01,-6.00000e-02,
-2.9569289e-01,-2.00000e-01,
-2.9565626e-01,-1.80000e-01,
-2.9561964e-01,4.00000e-02,
-2.9558301e-01,-4.00000e-02,
-2.9554638e-01,-1.60000e-01,
-2.9550979e-01,-4.00000e-02,
-2.9547316e-01,0.00000e+00,
-2.9543653e-01,-1.00000e-01,
-2.9539990e-01,0.00000e+00,
-2.9536328e-01,-1.60000e-01,
-2.9532668e-01,-4.00000e-02,
-2.9529005e-01,-2.60000e-01,
-2.9525343e-01,-4.00000e-02,
-2.9521680e-01,-2.00000e-02,
-2.9518017e-01,-1.20000e-01,
-2.9514357e-01,0.00000e+00,
-2.9510695e-01,0.00000e+00,
-2.9507032e-01,-8.00000e-02,
-2.9503369e-01,-1.40000e-01,
-2.9499707e-01,6.00000e-02,
-2.9496047e-01,8.00000e-02,
-2.9492384e-01,-4.00000e-02,
-2.9488721e-01,-4.00000e-02,
-2.9485059e-01,-1.00000e-01,
-2.9481396e-01,-8.00000e-02,
-2.9477736e-01,0.00000e+00,
-2.9474074e-01,-6.00000e-02,
-2.9470411e-01,-1.40000e-01,
-2.9466748e-01,8.00000e-02,
-2.9463086e-01,-1.00000e-01,
-2.9459426e-01,-2.00000e-02,
-2.9455763e-01,6.00000e-02,
-2.9452100e-01,-1.40000e-01,
-2.9448438e-01,-1.40000e-01,
-2.9444775e-01,-1.60000e-01,
-2.9441115e-01,-1.80000e-01,
-2.9437453e-01,4.00000e-02,
-2.9433790e-01,-1.80000e-01,
-2.9430127e-01,8.00000e-02,
-2.9426464e-01,-6.00000e-02,
-2.9422805e-01,-1.80000e-01,
-2.9419142e-01,-1.00000e-01,
-2.9415479e-01,-8.00000e-02,
-2.9411817e-01,-2.20000e-01,
-2.9408154e-01,-8.00000e-02,
-2.9404494e-01,4.00000e-02,
-2.9400831e-01,0.00000e+00,
-2.9397169e-01,-6.00000e-02,
-2.9393506e-01,0.00000e+00,
-2.9389843e-01,-2.20000e-01,
-2.9386184e-01,-1.60000e-01,
-2.9382521e-01,-4.00000e-02,
-2.9378858e-01,-1.00000e-01,
-2.9375196e-01,-1.60000e-01,
-2.9371533e-01,-6.00000e-02,
-2.9367873e-01,-8.00000e-02,
-2.9364210e-01,-2.80000e-01,
-2.9360548e-01,4.00000e-02,
-2.9356885e-01,-4.00000e-02,
-2.9353222e-01,-1.00000e-01,
-2.9349563e-01,-1.00000e-01,
-2.9345900e-01,-1.00000e-01,
-2.9342237e-01,-8.00000e-02,
-2.9338574e-01,-6.00000e-02,
-2.9334912e-01,-8.00000e-02,
-2.9331252e-01,-2.40000e-01,
-2.9327589e-01,-3.00000e-01,
-2.9323927e-01,-2.20000e-01,
-2.9320264e-01,-1.20000e-01,
-2.9316601e-01,-2.00000e-02,
-2.9312941e-01,-1.80000e-01,
-2.9309279e-01,-6.00000e-02,
-2.9305616e-01,-6.00000e-02,
-2.9301953e-01,2.00000e-02,
-2.9298291e-01,-2.60000e-01,
-2.9294631e-01,-8.00000e-02,
-2.9290968e-01,4.00000e-02,
-2.9287305e-01,4.00000e-02,
-2.9283643e-01,-1.60000e-01,
-2.9279980e-01,-4.00000e-02,
-2.9276320e-01,-2.40000e-01,
-2.9272658e-01,-1.40000e-01,
-2.9268995e-01,-8.00000e-02,
-2.9265332e-01,0.00000e+00,
-2.9261670e-01,-4.00000e-02,
-2.9258010e-01,-8.00000e-02,
-2.9254347e-01,-2.00000e-02,
-2.9250684e-01,0.00000e+00,
-2.9247022e-01,-6.00000e-02,
-2.9243359e-01,-1.80000e-01,
-2.9239699e-01,-2.00000e-02,
-2.9236037e-01,1.00000e-01,
-2.9232374e-01,-1.40000e-01,
-2.9228711e-01,-1.00000e-01,
-2.9225048e-01,4.00000e-02,
-2.9221389e-01,-6.00000e-02,
-2.9217726e-01,4.00000e-02,
-2.9214063e-01,4.00000e-02,
-2.9210401e-01,4.00000e-02,
-2.9206738e-01,-1.80000e-01,
